"Zone","Intended Tariff ID","Date","Desired Start","Configured Start","Start Time Match","Desired End","Configured End","End Time Match","RowGUID","Duplicate Eventday Entry"
"61615","61590","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","26dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61616","61590","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","29dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61617","61590","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","2adcbbc7-d464-ed11-80e9-0a94ef448f59",
"61618","61590","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","2bdcbbc7-d464-ed11-80e9-0a94ef448f59",
"61619","61590","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","2cdcbbc7-d464-ed11-80e9-0a94ef448f59",
"61592","61621","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","2fdcbbc7-d464-ed11-80e9-0a94ef448f59",
"61593","61621","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","32dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61602","61621","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","35dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61603","61621","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","38dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61605","61621","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","3adcbbc7-d464-ed11-80e9-0a94ef448f59",
"61607","61621","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","3cdcbbc7-d464-ed11-80e9-0a94ef448f59",
"61608","61621","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","3ddcbbc7-d464-ed11-80e9-0a94ef448f59",
"61620","61621","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","3fdcbbc7-d464-ed11-80e9-0a94ef448f59",
"61621","61621","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","42dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61622","61621","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","43dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61623","61621","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","44dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61624","61621","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","47dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61625","61621","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","49dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61626","61621","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","4cdcbbc7-d464-ed11-80e9-0a94ef448f59",
"61938","61621","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","4edcbbc7-d464-ed11-80e9-0a94ef448f59",
"62234","61621","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","51dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61293","61632","2022-12-07","14:00:00","14:00:00","Yes","20:29:59","20:29:59","Yes","a71b3aa2-d364-ed11-80e9-0a94ef448f59",
"61632","61632","2022-12-07","14:00:00","14:00:00","Yes","20:29:59","20:29:59","Yes","a81b3aa2-d364-ed11-80e9-0a94ef448f59",
"61633","61632","2022-12-07","14:00:00","14:00:00","Yes","20:29:59","20:29:59","Yes","aa1b3aa2-d364-ed11-80e9-0a94ef448f59",
"61642","61632","2022-12-07","14:00:00","14:00:00","Yes","20:29:59","20:29:59","Yes","ac1b3aa2-d364-ed11-80e9-0a94ef448f59",
"61645","61632","2022-12-07","14:00:00","14:00:00","Yes","20:29:59","20:29:59","Yes","ad1b3aa2-d364-ed11-80e9-0a94ef448f59",
"61649","61632","2022-12-07","14:00:00","14:00:00","Yes","20:29:59","20:29:59","Yes","af1b3aa2-d364-ed11-80e9-0a94ef448f59",
